Precision,Recall
0.390816,0.383000
0.395769,0.383500
0.396569,0.404500
0.396985,0.395000
0.392733,0.394500
0.392662,0.396000
0.397094,0.410000
0.391481,0.386000
0.388479,0.394500
0.399393,0.395000
0.396387,0.395000
0.386988,0.401500
0.393353,0.396500
0.408299,0.398500
0.398709,0.401500
0.392589,0.392000
0.397417,0.400000
0.397964,0.391000
0.387452,0.404500
0.394737,0.390000
0.380296,0.386000
0.394647,0.405500
0.380169,0.381500
0.395233,0.398000
0.381699,0.377500
0.399399,0.399000
0.390074,0.393000
0.397096,0.396500
0.396905,0.397500
0.398504,0.399500
0.407071,0.403000
0.385193,0.385000
0.388253,0.390000
0.388253,0.390000
0.401186,0.406000
0.397590,0.396000
0.384462,0.386000
0.396396,0.396000
0.395833,0.399000
0.393606,0.394000
0.398083,0.394500
0.391498,0.396000
0.397733,0.403500
0.400102,0.393500
0.391456,0.394000
0.385693,0.385500
0.394724,0.396500
0.385149,0.389000
0.398465,0.389500
0.399717,0.423500
0.390719,0.391500
0.391498,0.396000
0.400810,0.396000
0.397722,0.401500
0.382778,0.384500
0.397354,0.405500
0.398030,0.404000
0.404045,0.409500
0.396091,0.385000
0.396441,0.401000
0.403184,0.392500
0.398116,0.401500
0.391155,0.398000
0.392281,0.401500
0.393790,0.399500
0.386134,0.401000
0.407631,0.406000
0.393643,0.402500
0.388393,0.391500
0.397626,0.402000
0.398063,0.390500
0.389681,0.396500
0.402367,0.408000
0.395000,0.395000
0.386952,0.388500
0.403168,0.394500
0.395813,0.397000
0.391346,0.407000
0.406186,0.394000
0.394509,0.409500
0.392822,0.399500
0.395812,0.387500
0.387765,0.383500
0.390256,0.396500
0.401869,0.408500
0.393303,0.393500
0.395000,0.395000
0.400905,0.398500
0.391179,0.408000
0.393970,0.392000
0.407588,0.419000
0.396179,0.394000
0.391436,0.388500
0.386673,0.397500
0.394269,0.399000
0.392696,0.392500
0.398507,0.400500
0.398798,0.398000
0.398005,0.399000
0.390096,0.386000
0.386409,0.389500
0.399902,0.406500
0.399606,0.406000
0.398015,0.401000
0.398199,0.398000
0.399899,0.395500
0.404669,0.416000
0.403298,0.403500
0.385721,0.402500
0.401085,0.406500
0.393654,0.397000
0.398812,0.403000
0.384768,0.389000
0.401777,0.407000
0.397247,0.404000
0.380466,0.391500
0.401107,0.398500
0.388350,0.400000
0.393909,0.388000
0.399800,0.399000
0.386727,0.387500
0.408574,0.395500
0.397442,0.404000
0.400301,0.398500
0.402051,0.392000
0.390981,0.394500
0.392857,0.396000
0.391007,0.400000
0.392177,0.391000
0.396329,0.399500
0.407595,0.402500
0.400300,0.400500
0.399798,0.395000
0.401195,0.403000
0.403581,0.394500
0.400288,0.416500
0.388450,0.393500
0.403250,0.397000
0.388973,0.384500
0.390135,0.391500
0.402315,0.417000
0.394545,0.405000
0.403234,0.411500
0.396552,0.391000
0.390719,0.391500
0.403884,0.405500
0.397354,0.405500
0.393744,0.396500
0.378391,0.390500
0.391326,0.388000
0.399299,0.398500
0.402103,0.401500
0.401619,0.397000
0.393832,0.389500
0.402701,0.402500
0.386600,0.389500
0.389023,0.404000
0.402839,0.411500
0.400493,0.406500
0.386680,0.389000
0.394711,0.403000
0.391865,0.395000
0.383893,0.388500
0.400896,0.402500
0.387348,0.398000
0.389389,0.389000
0.384881,0.389500
0.386887,0.386500
0.393526,0.389000
0.397796,0.397000
0.383072,0.391500
0.401213,0.397000
0.402818,0.414500
0.403817,0.402000
0.399492,0.393500
0.390918,0.396000
0.385859,0.382000
0.395738,0.390000
0.390452,0.388500
0.385029,0.393500
0.396932,0.414000
0.400000,0.408000
0.390424,0.395500
0.393803,0.394000
0.406057,0.395500
0.400306,0.392500
0.398899,0.398500
0.399087,0.393500
0.388861,0.391000
0.383680,0.378500
0.404150,0.409000
0.397328,0.401500
0.399209,0.404000
0.398515,0.402500
0.399304,0.401500
0.389354,0.395000
0.410180,0.411000
0.395854,0.401000
0.401709,0.399500
0.412237,0.411000
0.398338,0.407500
0.382865,0.395500
0.389669,0.388500
0.387538,0.382500
0.399314,0.407500
0.389109,0.393000
0.382989,0.389500
0.397219,0.400000
0.392523,0.399000
0.389160,0.398500
0.408422,0.402500
0.395186,0.394000
0.395530,0.407000
0.396728,0.388000
0.395519,0.406000
0.398309,0.400500
0.388606,0.382000
0.388640,0.390000
0.405936,0.403500
0.403464,0.396000
0.399706,0.408500
0.403074,0.406500
0.401676,0.407500
0.409022,0.403500
0.395957,0.401500
0.392982,0.392000
0.391194,0.386500
0.380575,0.384000
0.378707,0.389500
0.390594,0.394500
0.394274,0.392500
0.398453,0.412000
0.399901,0.402500
0.395874,0.403000
0.385880,0.399000
0.387846,0.392500
0.391454,0.398500
0.380456,0.383500
0.399510,0.407500
0.397462,0.391500
0.379598,0.387000
0.393713,0.394500
0.389134,0.397500
0.398158,0.389000
0.404810,0.404000
0.394164,0.398500
0.383907,0.396000
0.402820,0.400000
0.391608,0.392000
0.398288,0.395500
0.404127,0.401500
0.385835,0.389500
0.388806,0.392500
0.401826,0.396000
0.389780,0.389000
0.390377,0.393500
0.402785,0.405000
0.391960,0.390000
0.388417,0.389000
0.402506,0.401500
0.394762,0.407000
0.392405,0.387500
0.397000,0.397000
0.398322,0.403500
0.390472,0.397500
0.391819,0.397500
0.390788,0.394500
0.395508,0.405000
0.396654,0.403000
0.388642,0.393500
0.400100,0.399500
0.400700,0.400500
0.399202,0.400000
0.395906,0.396500
0.391196,0.391000
0.409663,0.407000
0.404319,0.402500
0.394558,0.406000
0.398913,0.403500
0.390640,0.396500
0.392060,0.395000
0.395050,0.399000
0.399490,0.391500
0.395709,0.396500
0.401822,0.397000
0.394283,0.400000
0.381514,0.388000
0.378072,0.400000
0.393756,0.391000
0.391198,0.400000
0.401186,0.406000
0.396264,0.403000
0.398264,0.413000
0.390462,0.393000
0.385939,0.392500
0.384615,0.392500
0.393744,0.396500
0.390788,0.394500
0.391748,0.403500
0.393895,0.400000
0.395522,0.397500
0.389298,0.396500
0.395165,0.400500
0.381713,0.394500
0.394595,0.401500
0.386588,0.392000
0.388022,0.385500
0.393236,0.389500
0.387574,0.393000
0.402087,0.404500
0.394603,0.387500
0.388752,0.394000
0.395949,0.391000
0.388126,0.395500
0.407351,0.399000
0.384615,0.387500
0.396336,0.411000
0.398088,0.395500
0.394763,0.399500
0.396769,0.393000
0.403170,0.407000
0.385630,0.394500
0.387160,0.392000
0.403328,0.412000
0.386308,0.395000
0.408564,0.405500
0.397301,0.397500
0.407426,0.406000
0.394074,0.399000
0.397608,0.399000
0.394059,0.398000
0.406420,0.411500
0.393395,0.405000
0.409457,0.407000
0.394869,0.392500
0.388616,0.396000
0.391013,0.409000
0.393821,0.401500
0.398130,0.404500
0.397371,0.393000
0.392462,0.390500
0.395452,0.400000
0.386839,0.388000
0.401610,0.399000
0.402488,0.404500
0.395269,0.401000
0.401085,0.406500
0.392875,0.397000
0.396114,0.397500
0.396560,0.392000
0.408951,0.397500
0.397103,0.397500
0.408278,0.399500
0.388458,0.400500
0.382673,0.386500
0.393986,0.386500
0.390414,0.391000
0.385542,0.400000
0.388002,0.401000
0.395255,0.391500
0.378958,0.389000
0.393881,0.405500
0.399306,0.402500
0.391563,0.394500
0.403069,0.394000
0.390135,0.391500
0.393803,0.394000
0.393225,0.400500
0.410696,0.407000
0.388666,0.387500
0.395976,0.403500
0.390648,0.401000
0.386398,0.383500
0.403112,0.401500
0.388889,0.388500
0.397308,0.398500
0.391219,0.396500
0.397404,0.398000
0.391712,0.397000
0.397970,0.392000
0.386580,0.386000
0.387177,0.389500
0.397233,0.402000
0.399500,0.399500
0.400971,0.413000
0.402624,0.399000
0.415518,0.407000
0.395803,0.405500
0.397903,0.398500
0.393337,0.395500
0.394074,0.399000
0.398515,0.402500
0.404656,0.408500
0.390918,0.396000
0.379930,0.380500
0.388535,0.396500
0.389305,0.389500
0.403421,0.401000
0.394592,0.394000
0.391051,0.402000
0.390244,0.392000
0.394995,0.402500
0.400393,0.408000
0.408401,0.403500
0.392769,0.396500
0.383146,0.391000
0.391825,0.393000
0.392281,0.401500
0.383374,0.392000
0.395712,0.406000
0.398157,0.410500
0.391434,0.393000
0.392564,0.406500
0.402020,0.398000
0.384314,0.392000
0.400702,0.399500
0.385513,0.396500
0.387437,0.385500
0.402591,0.404000
0.380839,0.399500
0.396255,0.391500
0.389515,0.397500
0.393924,0.389000
0.389359,0.391500
0.382801,0.389500
0.402513,0.400500
0.392523,0.399000
0.379395,0.388500
0.386595,0.398000
0.394518,0.403000
0.389578,0.392500
0.394311,0.402000
0.397626,0.402000
0.393258,0.402500
0.399491,0.392500
